File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\ContourPlotDemo2.java,642,449,229,40,85,9,108,566,36,217
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\DemoDatasetFactory.java,1710,1405,1329,22,121,0,184,868,45,271
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\DescriptionPanel.java,84,20,15,1,11,0,53,272,37,221
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\DifferenceChartDemo.java,146,69,57,2,19,3,58,277,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\DualAxisDemo.java,224,115,101,2,36,7,73,356,36,215
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\DualAxisDemo2.java,204,111,97,3,30,0,63,322,36,215
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\DualAxisDemo3.java,222,113,99,2,35,5,74,358,36,215
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\DualAxisDemo4.java,212,103,89,2,35,5,74,357,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\DualAxisDemo5.java,222,113,99,2,36,7,73,356,36,215
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\DynamicDataDemo.java,142,57,51,1,26,1,59,307,36,213
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\DynamicDataDemo2.java,193,105,94,3,27,1,61,324,36,215
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\EmptyXYDataset.java,113,22,15,5,11,0,80,397,37,221
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\EventFrequencyDemo.java,150,67,54,0,23,7,60,330,37,227
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\ExtendedCategoryAxis.java,130,44,34,5,13,0,73,356,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\FastScatterPlotDemo.java,119,45,40,1,17,0,57,299,37,226
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\First.java,85,23,15,0,10,3,52,284,37,222
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\GanttDemo1.java,230,127,65,3,23,7,80,389,39,240
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\GanttDemo2.java,254,146,89,2,35,7,73,382,37,227
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\HighLowChartDemo.java,92,29,24,0,12,0,51,259,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\HistogramDemo.java,147,57,41,4,14,0,76,364,38,239
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\HorizontalBarChartDemo2.java,153,69,51,0,23,5,61,339,39,237
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\HorizontalBarChartDemo3.java,124,49,37,0,16,6,59,327,38,232
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\ImageMapDemo1.java,148,79,62,1,15,5,54,308,38,240
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\ImageMapDemo2.java,139,69,55,1,15,3,55,306,38,240
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\ImageMapDemo3.java,152,85,77,0,11,1,56,298,37,225
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\InternalFrameDemo.java,179,90,66,4,18,0,71,323,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\IntervalBarChartDemo1.java,152,72,70,1,18,0,62,316,40,255
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\JFreeChartAppletDemo.java,89,32,21,0,12,0,45,247,37,222
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\JFreeChartDemo.java,505,259,207,22,68,0,178,996,76,583
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\JFreeChartDemoBase.java,1390,800,634,42,219,6,371,1793,42,239
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\LayeredBarChartDemo1.java,155,59,50,2,28,0,68,344,37,222
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\LayeredBarChartDemo2.java,138,58,45,0,24,0,56,299,35,202
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\LineChartDemo1.java,232,123,91,2,33,8,76,374,39,242
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\LineChartDemo2.java,191,92,78,2,29,7,70,358,37,225
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\LineChartDemo3.java,137,54,39,3,20,7,63,333,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\LineChartDemo4.java,106,37,25,0,15,7,54,285,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\LineChartDemo5.java,226,129,103,0,32,8,65,326,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\MarkerDemo1.java,248,129,112,4,38,0,81,383,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\MeterChartDemo.java,155,78,62,4,18,0,59,315,39,238
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\MinMaxCategoryPlotDemo.java,140,63,51,0,18,7,59,330,37,230
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\MouseZoomDemo.java,170,85,65,3,20,0,65,303,37,225
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\MovingAverageDemo.java,157,79,66,2,21,0,57,288,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\MultiPieChartDemo.java,124,47,33,0,19,3,58,304,37,224
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\MultiPieChartDemo2.java,120,45,33,0,19,3,56,292,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\MultipleAxisDemo1.java,203,101,87,3,33,0,69,321,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\MultipleAxisDemo2.java,173,78,64,3,27,0,68,321,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\MultipleAxisDemo3.java,180,83,69,3,28,0,69,324,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\MultiShapesXYDemo.java,300,128,104,16,32,2,140,612,37,229
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\OverlaidBarChartDemo.java,155,73,68,0,20,0,62,355,39,247
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\OverlaidCategoryChartDemo.java,195,99,92,2,32,0,64,334,38,231
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\OverlaidXYPlotDemo.java,194,92,86,3,26,0,76,371,41,260
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\OverlaidXYPlotDemo2.java,231,119,112,4,35,0,77,331,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\ParetoChartDemo.java,161,77,65,0,25,5,59,323,37,222
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\Performance.java,172,63,51,4,32,0,77,370,36,218
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\Performance2.java,206,75,58,9,31,1,100,477,36,218
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\Pie3DChartDemo1.java,145,52,41,2,23,3,70,346,38,234
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\Pie3DChartDemo2.java,157,63,51,1,23,3,71,315,36,215
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\PieChartDemo1.java,117,42,34,0,16,3,59,315,39,239
